OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
1,1,2,14.858086089298924,1,-120.636468842999989,35.015231944000050,-120.636406782999984,35.015355758000055,22.409629998491095
2,1,4,15.524521385426509,2,-120.636468842999989,35.015231944000050,-120.636349433999953,35.015132289000064,135.410200929706861
3,1,3,21.735086935726713,3,-120.636468842999989,35.015231944000050,-120.636341644999959,35.015397571000051,32.285350448594741
4,1,9,34.925207873904647,4,-120.636468842999989,35.015231944000050,-120.636145158999966,35.015399848000072,57.767721469437518
5,1,10,37.131125401994062,5,-120.636468842999989,35.015231944000050,-120.636242869999990,35.015510256000027,33.742243457626692
6,1,11,39.971954004999894,6,-120.636468842999989,35.015231944000050,-120.636167014999955,35.015493011000046,43.565748042184119
7,1,7,41.135391488965126,7,-120.636468842999989,35.015231944000050,-120.636019566999948,35.015261333000069,85.453769978772243
8,1,12,41.906230024366934,8,-120.636468842999989,35.015231944000050,-120.636087106999980,35.015441833000068,56.244281024036212
9,1,8,51.964361441746441,9,-120.636468842999989,35.015231944000050,-120.635931027999959,35.015385645000038,70.843768514140777
10,1,14,58.213282295924301,10,-120.636468842999989,35.015231944000050,-120.635965456999941,35.015554165000026,52.114926727777203
11,1,15,61.676016436340198,11,-120.636468842999989,35.015231944000050,-120.636002081999948,35.015633946000037,43.688149262771631
12,1,5,65.344600386481432,12,-120.636468842999989,35.015231944000050,-120.635787400999959,35.015051317000029,107.858177334416666
13,1,6,66.716738673492102,13,-120.636468842999989,35.015231944000050,-120.635742983999990,35.015160941000033,96.780424776885340
14,1,13,69.781720478914266,14,-120.636468842999989,35.015231944000050,-120.635718655999995,35.015353308000044,78.874923113888073
15,1,16,71.317953025245430,15,-120.636468842999989,35.015231944000050,-120.635954624999954,35.015715972000066,41.153739341351105
16,1,18,73.436013411143421,16,-120.636468842999989,35.015231944000050,-120.635763387999987,35.015550258000076,61.256800953743380
17,1,17,75.813228879610747,17,-120.636468842999989,35.015231944000050,-120.635767829999963,35.015598522000062,57.558867933731598
18,1,19,87.012241859192201,18,-120.636468842999989,35.015231944000050,-120.635628852999957,35.015602864000073,61.775487435801679
19,1,20,88.891495264038056,19,-120.636468842999989,35.015231944000050,-120.636134775999949,35.015984585000069,20.060202326947778
20,1,21,92.182436971775488,20,-120.636468842999989,35.015231944000050,-120.636122140999987,35.016012369000066,20.076331128990891
21,1,22,97.952303717892633,21,-120.636468842999989,35.015231944000050,-120.636266913999975,35.016099098000041,10.845073248632769
22,1,26,102.299971129716795,22,-120.636468842999989,35.015231944000050,-120.635787517999972,35.015964135000047,37.435470159489249
23,1,23,103.703122053408066,23,-120.636468842999989,35.015231944000050,-120.636348414999986,35.016161439000030,6.084205346438329
24,1,25,106.110800570879960,24,-120.636468842999989,35.015231944000050,-120.636148481999953,35.016151377000028,15.995124930729814
25,1,24,112.503446963255854,25,-120.636468842999989,35.015231944000050,-120.636268272999985,35.016232514000023,9.364547284325708
26,1,40,118.777343122734450,26,-120.636468842999989,35.015231944000050,-120.635843617999967,35.016170925000040,28.713608512785616
27,1,39,120.928820483187550,27,-120.636468842999989,35.015231944000050,-120.635929584999985,35.016227606000029,24.016583195620367
