TRY Data Explorer Output	2023-2-14
Species Trait Table
Specieslist: 79, 80, 82, 1802, 3159, 3218, 5228, 9081, 9844, 211262, 10791, 11145, 213860, 21618, 22021, 231771, 64592, 33256, 34417, 
Trait	TraitID	.Abronia latifolia.	.Abronia maritima.	.Abronia umbellata.	.Agoseris apargioides.	.Ambrosia chamissonis.	.Ammophila arenaria.	.Artemisia pycnocephala.	.Cakile maritima.	.Calystegia soldanella.	.Camissoniopsis cheiranthifolia.	.Carpobrotus edulis.	.Castilleja latifolia.	.Chorizanthe pungens.	.Ericameria ericoides.	.Erysimum menziesii.	.Grindelia stricta var. platyphylla.	.Lathyrus littoralis.	.Leymus mollis.	.Lupinus arboreus.	
Mycorrhiza status and microbial interactions	3370	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Plant functional type (PFT)	197	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Plant height	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Plant morphological adaptations: root metamorphoses	814	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Plant species use for bioremediation	3371	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Seed number per flower	1103	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Seed storage behaviour	98	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	
Species occurrence range: climate type	825	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
Bark secondary compounds: oil, tannins, latex, slime	835	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Bark sieve tubes grouping	836	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Leaf aluminium (Al) content per leaf dry mass	249	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Leaf ash content per leaf dry mass	333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Leaf barium (Ba) content per leaf dry mass	251	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Leaf bromine (Br) content per leaf dry mass	542	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf caesium (Cs) content per leaf dry mass	547	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Leaf chlorine (Cl) content per leaf dry mass	539	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf cobalt (Co) content per leaf dry mass	253	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
Leaf copper (Cu) content per leaf dry mass	255	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Leaf iron (Fe) content per leaf dry mass	256	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf manganese (Mn) content per leaf dry mass	258	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf molybdenum (Mo) content per leaf dry mass	259	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf rubidium (Rb) content per leaf dry mass	543	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf scandium (Sc) content per leaf dry mass	540	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf sodium (Na) content per leaf dry mass	260	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Leaf strontium (Sr) content per leaf dry mass	265	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Leaf vanadium (V) content per leaf dry mass	267	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Leaf zinc (Zn) content per leaf dry mass	268	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Seed number per square meter	1105	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Wood fiber septate fibers present	1217	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Wood vessel intervessel pits	1240	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	
Crown (canopy) density	722	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
Crown (canopy) elevation (bottom height)	3684	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Flower corolla type	2936	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Flower petal number	2937	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Flower stamen number	2938	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Flower symmetry type (flower shape)	2935	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Fruit dehiscence type	2940	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Fruit pericarp type	2939	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Fruit surface type	2941	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Inflorescence type	2934	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf margin type	963	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf petiole length	143	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	
Photosynthesis organ	3687	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus abaxial color	3694	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus adaxial color	3693	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus cross section	3688	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus indumentum	3692	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus margin	3691	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus shape	3690	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Photosynthesis: primary photosynthetic apparatus type	3689	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Plant microbial association	3699	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Plant multi-stemness	3685	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Plant part protected by spines	3695	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Shoot erectness	3686	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Species tolerance to grazing	228	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Wood vessel cell-wall thickness	1236	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Leaf isoprene emission category	937	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Leaf isoprene emission rate per leaf dry mass	939	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Leaf nitrogen (N) isotope signature (delta 15N)	78	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
Leaf perimeter	142	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	
Leaf thickness	46	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	16	
Leaf vein density	740	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	
Leaf volatile organic carbon (VOC): other than monoterpenes emission	2815	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Stem conduit cross-sectional area (vessels and tracheids)	170	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Leaf chlorophyll content per leaf area	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
Leaf density (leaf tissue density, leaf dry mass per leaf volume)	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	
Leaflet length	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Leaflet number of first order per leaf	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Leaflet width	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
